countriesAndTerritories,Lat,Long,Total
Sint_Maarten,#N/A,#N/A,6
Slovakia,48.669026,19.699024,363
Slovenia,46.151241,14.995463,814
Somalia,5.152149,46.199616,3
South_Africa,-30.559482,22.937506,1353
South_Korea,35.907757,127.766922,9786
South_Sudan,#N/A,#N/A,1
Spain,40.463667,-3.74922,94417
Sri_Lanka,7.873054,80.771797,122
Sudan,12.862807,30.217636,7
Suriname,3.919305,-56.027783,10
Sweden,60.128161,18.643501,4435
Switzerland,46.818188,8.227512,16108
Syria,34.802075,38.996815,10
Taiwan,23.69781,120.960515,322
Thailand,15.870032,100.992541,1651
Timor_Leste,-8.874217,125.727539,1
Togo,8.619543,0.824782,34
Trinidad_and_Tobago,10.691803,-61.222503,87
Tunisia,33.886917,9.537499,362
Turkey,38.963745,35.243322,15422
Turks_and_Caicos_islands,21.694025,-71.797928,5
Uganda,1.373333,32.290275,44
Ukraine,48.379433,31.16558,549
United_Arab_Emirates,23.424076,53.847818,664
United_Kingdom,55.378051,-3.435973,25150
United_Republic_of_Tanzania,-6.369028,34.888822,19
United_States_of_America,37.09024,-95.712891,189618
United_States_Virgin_Islands,18.335765,-64.896335,30
Uruguay,-32.522779,-55.765835,338
Uzbekistan,41.377491,64.585262,173
Venezuela,6.42375,-66.58973,135
Vietnam,14.058324,108.277199,229
Zambia,-13.133897,27.849332,35
Zimbabwe,-19.015438,29.154857,8
Grand Total,,,853200
